Status,Monitor,Total time (ms),Status2,Description,Step Number,Date,Time,Date_Time
Unconfirmed,Relate8,"28,328",7004,Step 10 (Code and open next doc): 'destruct' not found.,10,4/30/2019,21:38:00,4/30/2019 21:38
Confirmed,Relate8,"35,767",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,21:39:00,4/30/2019 21:39
Unconfirmed,WhiteUS,"33,996",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,22:14:00,4/30/2019 22:14
Unconfirmed,WhiteUS,"33,996",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,22:14:00,4/30/2019 22:14
Unconfirmed,Relate8,"87,109",7009,Step 9 (Open JE_Test_001): Frame '/Relativity/CustomPages/' not found.,9,4/30/2019,22:28:00,4/30/2019 22:28
Unconfirmed,RalUS1,"101,555",7005,"Step 9 (Open JE_Test_001): Element 'Test Fios,' not found.",9,4/30/2019,22:32:00,4/30/2019 22:32
Unconfirmed,Relate8,"86,990",7009,Step 9 (Open JE_Test_001): Frame '/Relativity/CustomPages/' not found.,9,4/30/2019,22:42:00,4/30/2019 22:42
Unconfirmed,Hinshroud,"51,002",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,22:43:00,4/30/2019 22:43
Unconfirmed,Hinshroud,"51,002",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,22:43:00,4/30/2019 22:43
Unconfirmed,Relate8,"89,258",7009,Step 9 (Open JE_Test_001): Frame '/Relativity/CustomPages/' not found.,9,4/30/2019,22:50:00,4/30/2019 22:50
Unconfirmed,Relate8,"86,646",7009,Step 9 (Open JE_Test_001): Frame '/Relativity/CustomPages/' not found.,9,4/30/2019,23:05:00,4/30/2019 23:05
Confirmed,Relate8,"83,530",7009,Step 9 (Open JE_Test_001): Frame '/Relativity/CustomPages/' not found.,9,4/30/2019,23:06:00,4/30/2019 23:06
Unconfirmed,WhiteUS,"42,040",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,23:09:00,4/30/2019 23:09
Unconfirmed,WhiteUS,"42,040",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,23:09:00,4/30/2019 23:09
Unconfirmed,Relate8,"31,160",7004,Step 10 (Code and open next doc): 'destruct' not found.,10,4/30/2019,23:13:00,4/30/2019 23:13
Confirmed,Relate8,"86,186",7009,Step 9 (Open JE_Test_001): Frame '/Relativity/CustomPages/' not found.,9,4/30/2019,23:15:00,4/30/2019 23:15
Unconfirmed,Leonard,"96,626",7020,Step 9 (Open JE_Test_001): Action for 'JE_Test_001' timed out.,9,4/30/2019,23:20:00,4/30/2019 23:20
Unconfirmed,Leonard,"96,626",7020,Step 9 (Open JE_Test_001): Action for 'JE_Test_001' timed out.,9,4/30/2019,23:20:00,4/30/2019 23:20
Unconfirmed,GREEN,"62,259",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,23:24:00,4/30/2019 23:24
Unconfirmed,GREEN,"62,259",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,23:24:00,4/30/2019 23:24
Unconfirmed,Vedder,"13,453",7009,Step 7 (Run reset script): Frame 'externalPage' not found.,7,4/30/2019,23:27:00,4/30/2019 23:27
